,win,home_team_api_id,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,away_team_api_id,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
0,0,1773,52,50,50,53,54,43,44,50,9993,52,50,50,53,54,43,44,50,2.1,3.5,3.0,2.05,3.3,3.25,1.9,3.3,3.5,2.0,3.3,3.1
1,1,1773,52,50,50,53,54,43,44,50,9984,52,50,50,53,54,43,44,50,2.6,3.4,2.0,2.65,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5
2,-1,1773,52,50,50,53,54,43,44,50,9994,52,50,50,53,54,43,44,50,2.8,3.25,2.0,2.6,3.25,2.45,2.55,3.3,2.45,2.62,3.1,2.37
3,1,1773,52,50,50,53,54,43,44,50,9986,52,50,50,53,54,43,44,50,1.91,3.6,3.0,1.91,3.2,3.8,2.0,3.3,3.2,1.9,3.2,3.5
4,-1,1773,52,50,50,53,54,43,44,50,10000,52,50,50,53,54,43,44,50,2.8,3.4,2.0,2.65,3.25,2.4,2.6,3.2,2.4,2.6,3.25,2.5
5,-1,1773,52,50,50,53,54,43,44,50,9985,52,50,50,53,54,43,44,50,4.0,3.5,1.0,3.6,3.4,1.9,3.6,3.4,1.85,3.6,3.4,1.9
6,0,1773,52,50,50,53,54,43,44,50,8635,52,50,50,53,54,43,44,50,5.5,3.75,1.0,5.5,4.0,1.5,4.8,3.7,1.55,5.0,3.8,1.57
7,1,1773,52,50,50,53,54,43,44,50,8475,52,50,50,53,54,43,44,50,2.0,3.5,3.0,1.95,3.4,3.4,2.0,3.2,3.3,1.91,3.4,3.5
8,1,1773,52,50,50,53,54,43,44,50,8342,52,50,50,53,54,43,44,50,4.75,3.6,1.0,3.75,3.8,1.75,4.3,3.4,1.7,4.33,3.5,1.73
9,0,1773,52,50,50,53,54,43,44,50,8571,52,50,50,53,54,43,44,50,2.5,3.4,2.0,2.4,3.3,2.6,2.3,3.2,2.7,2.5,3.25,2.6
10,-1,1773,52,50,50,53,54,43,44,50,9998,52,50,50,53,54,43,44,50,2.1,3.5,3.0,2.1,3.2,3.2,2.0,3.3,3.2,2.1,3.25,3.2
11,1,1773,52,50,50,53,54,43,44,50,8203,52,50,50,53,54,43,44,50,2.3,3.5,2.0,2.3,3.25,2.8,2.2,3.2,2.9,2.25,3.4,2.8
12,0,1773,52,50,50,53,54,43,44,50,9991,52,50,50,53,54,43,44,50,3.4,3.5,2.0,2.9,3.3,2.2,3.5,3.3,1.9,3.2,3.25,2.1
13,0,1773,52,50,50,53,54,43,44,50,9989,52,50,50,53,54,43,44,50,1.91,3.6,3.0,1.9,3.25,3.75,1.9,3.3,3.5,1.83,3.5,4.0
14,0,1773,52,50,50,53,54,43,44,50,9987,52,50,50,53,54,43,44,50,3.8,3.6,1.0,3.5,3.6,1.87,3.5,3.3,1.9,3.5,3.5,1.91
15,0,1773,52,50,50,53,54,43,44,50,9989,52,50,50,53,54,43,44,50,2.2,3.4,3.0,2.35,3.25,2.9,2.2,3.2,2.9,2.1,3.2,3.0
16,1,1773,52,50,50,53,54,43,44,50,9993,52,50,50,53,54,43,44,50,2.6,3.4,2.0,2.55,3.2,2.65,2.5,3.2,2.5,2.38,3.3,2.5
17,1,1773,52,50,50,53,54,43,44,50,9998,52,50,50,53,54,43,44,50,2.4,3.4,2.0,2.4,3.3,2.75,2.4,3.2,2.6,2.25,3.25,2.7
