,win,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
0,1,7.0,4.0,1.5,6.5,4.1,1.42,5.0,3.7,1.5,5.5,3.6,1.5
1,0,2.3,3.3,3.1,2.35,3.25,2.9,2.3,3.2,2.7,2.2,3.2,2.8
2,1,2.6,3.4,2.6,2.55,3.2,2.65,2.5,3.2,2.5,2.38,3.3,2.5
3,2,4.75,3.6,1.75,4.33,3.6,1.75,4.1,3.3,1.75,4.33,3.4,1.67
4,0,2.9,3.3,2.4,2.9,3.25,2.35,2.6,3.1,2.3,2.5,3.2,2.5
5,1,6.0,3.8,1.57,5.25,3.8,1.6,4.5,3.3,1.65,5.0,3.5,1.57
6,0,2.75,3.3,2.5,2.85,3.3,2.35,2.5,3.2,2.5,2.5,3.25,2.4
7,2,3.0,3.4,2.3,2.85,3.2,2.4,2.7,3.2,2.3,2.5,3.25,2.4
8,2,6.0,4.0,1.53,6.0,4.1,1.5,5.0,3.7,1.5,5.5,3.6,1.5
9,2,3.0,3.4,2.3,2.95,3.25,2.3,3.1,3.2,2.1,2.75,3.2,2.25
10,0,2.2,3.4,3.2,2.35,3.25,2.9,2.2,3.2,2.9,2.1,3.2,3.0
11,1,2.25,3.3,2.88,2.2,3.4,3.0,2.3,3.2,2.7,2.3,3.25,2.62
12,2,3.1,3.3,2.3,3.1,3.4,2.15,2.7,3.2,2.3,2.5,3.3,2.38
13,1,2.4,3.4,2.8,2.4,3.3,2.75,2.4,3.2,2.6,2.25,3.25,2.7
14,0,3.6,3.5,2.0,4.0,3.5,1.85,3.6,3.3,1.85,3.25,3.4,1.91
15,1,4.75,3.6,1.73,3.75,3.8,1.75,4.3,3.4,1.7,4.33,3.5,1.73
16,1,2.3,3.5,2.9,2.3,3.25,2.8,2.2,3.2,2.9,2.25,3.4,2.8
17,0,2.5,3.4,2.7,2.4,3.3,2.6,2.3,3.2,2.7,2.5,3.25,2.6
18,2,2.1,3.5,3.25,2.1,3.2,3.2,2.0,3.3,3.2,2.1,3.25,3.2
19,0,3.4,3.5,2.05,2.9,3.3,2.2,3.5,3.3,1.9,3.2,3.25,2.1
20,0,3.8,3.6,1.91,3.5,3.6,1.87,3.5,3.3,1.9,3.5,3.5,1.91
21,0,1.91,3.6,3.75,1.9,3.25,3.75,1.9,3.3,3.5,1.83,3.5,4.0
22,2,2.8,3.25,2.5,2.6,3.25,2.45,2.55,3.3,2.45,2.62,3.1,2.37
23,1,1.91,3.6,3.8,1.91,3.2,3.8,2.0,3.3,3.2,1.9,3.2,3.5
24,0,2.1,3.5,3.3,2.05,3.3,3.25,1.9,3.3,3.5,2.0,3.3,3.1
25,2,4.0,3.5,1.91,3.6,3.4,1.9,3.6,3.4,1.85,3.6,3.4,1.9
26,1,2.6,3.4,2.6,2.65,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5
27,0,5.5,3.75,1.62,5.5,4.0,1.5,4.8,3.7,1.55,5.0,3.8,1.57
28,2,2.8,3.4,2.4,2.65,3.25,2.4,2.6,3.2,2.4,2.6,3.25,2.5
29,1,2.0,3.5,3.6,1.95,3.4,3.4,2.0,3.2,3.3,1.91,3.4,3.5
30,0,1.95,3.6,3.6,1.95,3.5,3.7,2.0,3.3,3.6,1.91,3.6,3.8
31,2,1.8,3.75,4.2,1.75,3.7,4.33,1.75,3.5,4.5,1.75,3.6,4.33
32,2,5.0,3.6,1.7,4.6,3.75,1.72,5.1,3.6,1.65,4.5,3.75,1.73
33,2,3.4,3.4,2.1,3.1,3.4,2.2,3.1,3.3,2.2,3.25,3.4,2.15
34,1,1.91,3.6,3.8,1.9,3.6,3.75,1.9,3.45,3.8,1.85,3.6,3.8
35,2,5.25,4.2,1.57,6.25,3.9,1.53,5.6,3.9,1.55,6.0,4.2,1.53
36,1,2.7,3.4,2.5,2.8,3.4,2.4,2.75,3.3,2.4,2.62,3.3,2.5
37,1,2.1,3.4,3.4,2.1,3.4,3.3,2.2,3.3,3.1,2.1,3.3,3.4
38,2,3.4,3.5,2.05,3.2,3.5,2.1,3.3,3.3,2.1,3.3,3.5,2.1
39,0,2.15,3.3,3.4,2.35,3.25,3.0,2.4,3.3,2.75,2.25,3.3,3.1
40,1,2.3,3.5,2.88,2.25,3.3,3.1,2.3,3.3,2.9,2.3,3.4,2.9
41,2,3.4,3.4,2.1,3.4,3.6,2.0,4.0,3.45,1.85,3.3,3.5,2.0
42,1,2.9,3.3,2.38,3.2,3.3,2.2,2.9,3.3,2.3,3.0,3.4,2.3
43,1,2.05,3.6,3.4,2.1,3.5,3.2,2.1,3.3,3.3,2.1,3.4,3.4
